,city,country,score
0,Paris,France,100
1,Tokyo,Japan,98
2,Barcelona,Spain,96
3,Lisbon,Portugal,94
4,London,England,92
5,Rome,Italy,90
6,Madrid,Spain,88
7,Vienna,Austria,86
8,Florence,Italy,84
9,Bangkok,Thailand,82
10,Seoul,Korea,80
11,Ho Chi Minh City,Vietnam,78
12,Berlin,Germany,76
13,Athens,Greece,74
14,Amsterdam,Netherlands,72
15,Milan,Italy,70
16,Münich,Germany,68
17,New York City,New York,66
18,Chiang Mai,Thailand,64
19,Taipei,Taiwan,62
20,Sydney,Australia,60
21,Budapest,Hungary,58
22,Dubai,UAE,56
23,Dublin,Ireland,54
24,Hong Kong,Hong Kong,52
25,Prague,Czech Republic,50
26,Las Vegas,Nevada,48
27,Miami,Florida,46
28,Jakarta,Indonesia,44
29,Los Angeles,California,42
30,Toronto,Canada,40
31,Johannesburg,South Africa,38
32,Jerusalem,Jerusalem,36
33,Moscow,Russia,34
34,Singapore,Singapore,32
35,Shanghai,China,30
36,St Petersburg,Russia,28
37,Riyadh,Saudi Arabia,26
38,New Delhi,India,24
39,Kuala Lumpur,Malaysia,22
40,Beijing,China,20
41,Istanbul,Turkey,18
42,Hanoi,Vietnam,16
43,Orlando,Florida,14
44,Venice,Italy,12
45,Penang Island,Malaysia,10
46,Antalya,Turkey,8
47,Cairo,Egypt,6
48,Mumbai,India,4
49,Shenzhen,China,2
